Network,Matrix,Algorithm,Order,Allocated,Blocked,BP(%),HighestFSU,TotalFSU,AvgHops,Cost,RSS,NoC,Runtime_Sec,Fail_No_Path,Fail_Distance,Fail_Fragmentation
G17,M5,Benchmark,Asc,519,81,13.5,317,4209,2.98,1920.6,2493.2,358,1.636,0,0,0
G17,M5,Benchmark,Desc,502,98,16.33,317,4084,2.92,1882.6,2754.7,250,0.9185,0,0,0
G17,M5,Custom(NoC-aware Best-Fit),Asc,571,29,4.83,319,4900,3.16,2147.6,1746.8,338,117.8019,0,0,0
G17,M5,Custom(NoC-aware Best-Fit),Desc,583,17,2.83,319,4981,3.15,2186.9,1677.5,322,121.1387,0,0,0
G17,M5,1+1 Protection (First-Fit),Asc,305,295,49.17,317,5667,3.27,2372.1,1099.6,570,1.2968,0,0,0
G17,M5,1+1 Protection (First-Fit),Desc,250,350,58.33,317,6261,3.63,2391.0,1026.6,267,1.3739,0,0,0
IT10,M5,Benchmark,Asc,250,0,0.0,257,1620,2.25,954.7,2645.7,94,0.4907,0,0,0
IT10,M5,Benchmark,Desc,250,0,0.0,251,1620,2.25,954.7,2447.8,95,0.2615,0,0,0
IT10,M5,Custom(NoC-aware Best-Fit),Asc,250,0,0.0,319,1626,2.2,974.9,2856.4,74,103.5989,0,0,0
IT10,M5,Custom(NoC-aware Best-Fit),Desc,250,0,0.0,319,1647,2.24,975.4,2658.7,80,107.0765,0,0,0
IT10,M5,1+1 Protection (First-Fit),Asc,166,84,33.6,317,3231,2.58,1642.4,856.5,205,0.6142,0,0,0
IT10,M5,1+1 Protection (First-Fit),Desc,144,106,42.4,317,3253,2.58,1637.6,879.5,124,0.608,0,0,0
G50,M5,Benchmark,Asc,2601,9955,79.28,317,21019,3.08,9240.8,2721.2,1796,78.7146,0,0,0
G50,M5,Benchmark,Desc,2695,9861,78.54,317,21585,2.88,10058.1,4236.5,432,81.2629,0,0,0
G50,M5,Custom(NoC-aware Best-Fit),Asc,2875,9681,77.1,319,23443,3.2,10056.8,1787.1,1537,484.9809,0,0,0
G50,M5,Custom(NoC-aware Best-Fit),Desc,2686,9870,78.61,319,23578,3.2,10072.1,2599.5,531,346.2629,0,0,0
G50,M5,1+1 Protection (First-Fit),Asc,1105,11451,91.2,317,19683,3.71,7379.4,3014.0,2389,45.3425,0,0,0
G50,M5,1+1 Protection (First-Fit),Desc,1025,11531,91.84,317,20445,3.44,8227.6,4973.8,589,44.0729,0,0,0
